"","row","url","Latitude","Longitude","Address","PlugCount","PlugType","PlugPower","StationCount","AvailableCount","InUseCount","UnavailCount","ChargNetwork","DatePull"
"597",597,"https://www.plugshare.com/location/738631","['41.72387']","['-72.60374']","['30 Salem Ct, Glastonbury, CT 06033, USA ']","['2 Plugs']","['J-1772']","['13.3 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:40:48 GMT-0400 (Eastern Daylight Time)"
"598",598,"https://www.plugshare.com/location/631293","['41.316167']","['-72.252466']","['3 Nola Pl, East Lyme, CT 06333, USA ']","['12 Plugs']","['J-1772']","['6.48 kW']","['6 Stations']","['12']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:33:43 GMT-0400 (Eastern Daylight Time)"
"599",599,"https://www.plugshare.com/location/549575","['41.565956135']","['-72.907289103']","['1821 Meriden-Waterbury Turnpike, Southington, CT 06489, USA ']","['4 Plugs']","['J-1772']","['9.6 kW']","['4 Stations']","['2']","['1']","['0']","['Shell Recharge']","Sat Jun 07 2025 12:21:27 GMT-0400 (Eastern Daylight Time)"
"600",600,"https://www.plugshare.com/location/536570","['41.376962']","['-72.104401']","['270 Mohegan Ave Pkwy, New London, CT 06320, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['3']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 12:12:39 GMT-0400 (Eastern Daylight Time)"
"601",601,"https://www.plugshare.com/location/626439","['41.546533']","['-72.813158']","['155 Andrews St, Meriden, CT 06451, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:54:33 GMT-0400 (Eastern Daylight Time)"
"602",602,"https://www.plugshare.com/location/352461","['41.23607']","['-73.036916']","['1201 Boston Post Rd, Milford 06460 ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['2']","['0']","['0']","['Shell Recharge']","Sat Jun 07 2025 12:12:19 GMT-0400 (Eastern Daylight Time)"
"603",603,"https://www.plugshare.com/location/711183","['41.057514883925315']","['-73.54077203102298']","['600 Summer St, Stamford, CT 06901, USA ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:35:49 GMT-0400 (Eastern Daylight Time)"
"604",604,"https://www.plugshare.com/location/618415","['41.42412013891327']","['-71.98518463677064']","['515 Pumpkin Hill Rd, Ledyard 06339 ']","['2 Plugs']","['J-1772']","['7.68 kW']","['2 Stations']","['1']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 11:55:45 GMT-0400 (Eastern Daylight Time)"
"605",605,"https://www.plugshare.com/location/206565","['41.11803']","['-73.414932']","['10 Burnell Blvd, Norwalk, CT 06850, USA ']","['1 Plug']","['J-1772']","['8.64 kW']","['1 Station']","['1']","['0']","['0']","['Blink']","Sat Jun 07 2025 11:45:33 GMT-0400 (Eastern Daylight Time)"
"606",606,"https://www.plugshare.com/location/472205","['41.82173800809339']","['-73.07284084655761']","['2065 E Main St, Torrington, CT 06790 ']","['3 Plugs', '1 Plug']","['CCS1', 'J-1772']","['50 - 180 kW', '19.2 kW']","['2 Stations', '1 Station']","['3', '1']","['0', '0']","['0', '0']","['EV Connect', 'EV Connect']","Sat Jun 07 2025 12:21:08 GMT-0400 (Eastern Daylight Time)"
