url,Latitude,Longitude,Address,PlugType,PlugPower,StationCount,AvailableCount,InUseCount,UnavailCount,ChargNetwork,DatePull
https://www.plugshare.com/location/118150,"[""42.244726""]","[""3.198312""]","[""Avenida Diaz Pacheco, 26, 17480 Roses, Girona, Spain ""]","[""Type 2""]","[""17 kW""]","[""2 Stations""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 17:59:56 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/11873,"[""41.784424""]","[""-72.74794""]","[""345 N Main St, West Hartford 06117 ""]","[""J-1772""]","[""6.48 kW""]","[""1 Station""]","[""0""]","[""2""]","[""0""]","[""ChargePoint""]",Sun Jun 01 2025 17:59:59 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/119277,"[""41.045914163598816""]","[""-73.5400246858444""]","[""695 Atlantic St, Stamford, CT 06902, USA ""]","[""NACS (Tesla)""]","[""16 kW""]","[""3 Stations""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 18:00:02 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/119578,"[""42.195105""]","[""3.092235""]","[""Camí del Joncar, 15, 17470 Sant Pere Pescador, Girona, Spain ""]","[""Type 2""]","[""9 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 18:00:05 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/120263,"[""41.825599""]","[""-71.888936""]","[""742 Upper Maple St, Danielson, CT 06239 ""]","[""J-1772""]","["" kW""]","[""2 Stations""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 18:00:07 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/12066,"[""41.245846""]","[""-73.009048""]","[""1 Connecticut Tpke, Milford, CT 06460, USA ""]","[""NACS (Tesla)""]","[""150 kW""]","[""2 Stations""]","[""0""]","[""0""]","[""0""]","[""Supercharger""]",Sun Jun 01 2025 18:00:10 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/12067,"[""41.246197""]","[""-73.010574""]","[""I-95 South, Milford, CT 06460, USA ""]","[""NACS (Tesla)""]","[""150 kW""]","[""2 Stations""]","[""0""]","[""0""]","[""0""]","[""Supercharger""]",Sun Jun 01 2025 18:00:13 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/120683,"[""41.858821""]","[""2.76758""]","[""Km 701 Carretera N-II, Caldes de Malavella, Spain ""]","[""Type 2"",""CCS2""]","[""43 kW"",""150 - 250 kW""]","[""10 Stations"",""20 Stations""]","[""0"",""0""]","[""0"",""0""]","[""0"",""0""]","[""Supercharger"",""Supercharger""]",Sun Jun 01 2025 18:00:16 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/120868,"[""41.45744""]","[""-72.815323""]","[""245 N Main St, Wallingford, CT 06492 ""]","[""NACS (Tesla)""]","[""16 kW""]","[""2 Stations""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 18:00:19 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/121526,"[""41.263469""]","[""-72.56046""]","[""Madison CT 06443, United States ""]","[""J-1772""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 18:00:21 GMT-0400 (Eastern Daylight Time)
