X,name,url_location
21284,"Danbury Porsche | Danbury, CT | EV Station",https://www.plugshare.com/location/140504
21433,"Kaman Fuzing & Precision Products | Middletown, CT | EV Station",https://www.plugshare.com/location/140798
21669,"Port D'Aiguadolç | Sitges, CT | EV Station",https://www.plugshare.com/location/141330
21821,"Pfizer Parking Garage | Groton, CT | EV Station",https://www.plugshare.com/location/141636
22219,"ACC - Advanced Manufacturing Technology | Enfield, CT | EV Station",https://www.plugshare.com/location/142548
22259,"Brick Walk Parking Lot | Fairfield, CT | EV Station",https://www.plugshare.com/location/142637
22360,"Riverview Cinemas 8 & Playhouse | Southbury, CT | EV Station",https://www.plugshare.com/location/142851
22365,"Majestic Hotel & Spa Barcelona GL | Barcelona, CT | EV Station",https://www.plugshare.com/location/142859
22420,"Peusa Martinet | Montellà, CT | EV Station",https://www.plugshare.com/location/142995
22433,"Ibis Barcelona Cornellá | Cornellà de Llobregat, CT | EV Station",https://www.plugshare.com/location/143018
22737,"Vilafranca | Vilafranca del Penedès, CT | EV Station",https://www.plugshare.com/location/143655
22787,"B&B Hotel Granollers | Bellavista, CT | EV Station",https://www.plugshare.com/location/143756
23055,"La Roca Village - Nike Factory | La Roca del Vallès, CT | EV Station",https://www.plugshare.com/location/144291
23064,"McDonald's | Putnam, CT | EV Station",https://www.plugshare.com/location/14431
23087,"State House Square | Hartford, CT | EV Station",https://www.plugshare.com/location/14436
23094,"Carrefour | Tarragona, CT | EV Station",https://www.plugshare.com/location/144388
23197,"Hotel Restaurant Can Boix De Peramola | Castell-llebre, CT | EV Station",https://www.plugshare.com/location/144593
23219,"Sono Apartamentos | La Garriga, CT | EV Station",https://www.plugshare.com/location/144619
23410,"Eversource Energy - South | Berlin, CT | EV Station",https://www.plugshare.com/location/145031
23450,"Cigna Healthcare - NW Parking Lot D | Bloomfield, CT | EV Station",https://www.plugshare.com/location/145134
23516,"Lawrence and Memorial Hospital | New London, CT | EV Station",https://www.plugshare.com/location/145272
23600,"University of CT - Innovation Partnership Building | Mansfield, CT | EV Station",https://www.plugshare.com/location/145423
23667,"StanleyBlack & Decker | New Britain, CT | EV Station",https://www.plugshare.com/location/145576
23898,"Hotel B&B Girona | Salt, CT | EV Station",https://www.plugshare.com/location/146084
23932,"Eroski Sant Cugat Parking | Sant Cugat del Vallès, CT | EV Station",https://www.plugshare.com/location/146147
23944,"EdRR Olot-Sud La Solfa PIRVEC-16 | Olot, CT | EV Station",https://www.plugshare.com/location/146177
23945,"EdRR Olot Nord - La Rodona PIRVEC-17 | Olot, CT | EV Station",https://www.plugshare.com/location/146178
24102,"United Technologies Research Center - East | East Hartford, CT | EV Station",https://www.plugshare.com/location/146487
24107,"AVANGRID NETWORKS | Orange, CT | EV Station",https://www.plugshare.com/location/14649
24247,"Crowley Chrysler Jeep Dodge Ram (1) | Bristol, CT | EV Station",https://www.plugshare.com/location/146809
24386,"Hotel Class Valls - Tesla Destination | Valls, CT | EV Station",https://www.plugshare.com/location/147081
24393,"Mas Falgarona Hotel &  Spa | Avinyonet de Puigventós, CT | EV Station",https://www.plugshare.com/location/147090
24451,"The Rectory School | Pomfret, CT | EV Station",https://www.plugshare.com/location/14717
24478,"Meriden Train Station | Meriden, CT | EV Station",https://www.plugshare.com/location/147238
24539,"La seu d’Urgell | La Seu d'Urgell, CT | EV Station",https://www.plugshare.com/location/147352
24540,"Masella ski resort | Masella, CT | EV Station",https://www.plugshare.com/location/147354
24578,"Aldi Calonge | Calonge, CT | EV Station",https://www.plugshare.com/location/147435
24599,"Hartford Department of Public Works | Hartford, CT | EV Station",https://www.plugshare.com/location/147481
24606,"777 Main Street - Public Parking Garage | Hartford, CT | EV Station",https://www.plugshare.com/location/147492
26440,"EdRR AMB Barberà del Vallés 50kW | Barberà del Vallès, CT | EV Station",https://www.plugshare.com/location/152033
26465,"EdRR AMB 10 - edifici AQUA - Montcada i Reixac | Montcada i Reixac, CT | EV Station",https://www.plugshare.com/location/152093
26466,"Ajuntament de Granollers | Granollers, CT | EV Station",https://www.plugshare.com/location/152096
26468,"Passeig Marítim | Mataró, CT | EV Station",https://www.plugshare.com/location/152098
26469,"EdRR Figueres Creu de la Mà PIRVEC-18 - ETECNIC | Figueres, CT | EV Station",https://www.plugshare.com/location/152099
26471,"EdRR Figueres President Josep Tarradellas PIRVEC-19 - ETECNIC | Figueres, CT | EV Station",https://www.plugshare.com/location/152100
26472,"EdRsR Roses Riera Ginjolers PIRVEC-21 | Roses, CT | EV Station",https://www.plugshare.com/location/152101
26473,"Consell Comarcal del Baix Ebre PIRVEC-26 | Tortosa, CT | EV Station",https://www.plugshare.com/location/152102
26547,"Yale Amistad Garage | New Haven, CT | EV Station",https://www.plugshare.com/location/152267
26645,"Hoffman Toyota | Simsbury, CT | EV Station",https://www.plugshare.com/location/152481
26680,"Camping 2 Mai | 2 Mai, CT | EV Station",https://www.plugshare.com/location/152534
26689,"Hotel Mercure Atenea Aventura | Vila-seca, CT | EV Station",https://www.plugshare.com/location/152548
26735,"Metropolitan Iradier | Barcelona, CT | EV Station",https://www.plugshare.com/location/152642
26883,"Stratford Square | Stratford, CT | EV Station",https://www.plugshare.com/location/152891
26884,"Waterford Commons | Waterford, CT | EV Station",https://www.plugshare.com/location/152893
27173,"Hotel Reimar Rooms and Residences | Calonge, CT | EV Station",https://www.plugshare.com/location/153408
27179,"Hotel Playa Sol | Cadaqués, CT | EV Station",https://www.plugshare.com/location/153416
